question,answer
The cash withdrawal I took seems to be off. The exchange rate is wrong.,This relates to: Wrong exchange rate for cash withdrawal.
I got cash abroad and the exchange rate applied is wrong,This relates to: Wrong exchange rate for cash withdrawal.
I wasn't applied the correct exchange rate when getting cash,This relates to: Wrong exchange rate for cash withdrawal.
"I need an accurate exchange rate, when I make my withdrawals.",This relates to: Wrong exchange rate for cash withdrawal.
Why is the exchange rate wrong for my cash withdrawal?,This relates to: Wrong exchange rate for cash withdrawal.
I noticed the exchange rate for cash withdrawal isn't right.,This relates to: Wrong exchange rate for cash withdrawal.
what is going on with my cash withdrawal? the exchange rate is wrong,This relates to: Wrong exchange rate for cash withdrawal.
When I was abroad the exchange rate for me was wrong.,This relates to: Wrong exchange rate for cash withdrawal.
What on earth is up with the exchange rate! This should have been a much higher amount of cash,This relates to: Wrong exchange rate for cash withdrawal.
Can the exchange rate change while I am in the process of making a withdrawal?,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate was wrong?,This relates to: Wrong exchange rate for cash withdrawal.
how come when i got cash the exchange rate was different than it should be,This relates to: Wrong exchange rate for cash withdrawal.
My rate is not right when I used my card in a different country's money.,This relates to: Wrong exchange rate for cash withdrawal.
I got cash abroad and need to check the exchange rate,This relates to: Wrong exchange rate for cash withdrawal.
I did not have the right exchange rate applied to my situation of pulling out cash,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate was different when I got cash,This relates to: Wrong exchange rate for cash withdrawal.
how come my withdrawal rate is wrong for my cash withdrawal,This relates to: Wrong exchange rate for cash withdrawal.
I had the wrong exchange rate applied to some cash I got abroad.,This relates to: Wrong exchange rate for cash withdrawal.
I believe my exchange rate is incorrect,This relates to: Wrong exchange rate for cash withdrawal.
I found the exchange rate for my cash withdrawal is wrong,This relates to: Wrong exchange rate for cash withdrawal.
The cash abroad exchange rate is applied wrong.,This relates to: Wrong exchange rate for cash withdrawal.
The ATM I used for foreign currency provided the wrong exchange rate.,This relates to: Wrong exchange rate for cash withdrawal.
what is the exchange rate for foreign ATMs,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate for me was wrong when I was abroad.,This relates to: Wrong exchange rate for cash withdrawal.
"Help me!  When I was abroad, the exchange rate was wrong.",This relates to: Wrong exchange rate for cash withdrawal.
My cash withdrawl has the wrong rate of exchange.,This relates to: Wrong exchange rate for cash withdrawal.
"While abroad I got cash, and a wrong exchange rate was applied.",This relates to: Wrong exchange rate for cash withdrawal.
I got money overseas and the exchange rate was wrong,This relates to: Wrong exchange rate for cash withdrawal.
the exchange rate I got for cash was wrong,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate for case abroad is applied wrong.,This relates to: Wrong exchange rate for cash withdrawal.
"When I received my money, it was not in the correct amount. The exchange rate was not what it should have been.",This relates to: Wrong exchange rate for cash withdrawal.
I tried withdrawing money in another country and the exchange rate was wrong.,This relates to: Wrong exchange rate for cash withdrawal.
I withdrew some cash and the exchange rate seems to be wrong.,This relates to: Wrong exchange rate for cash withdrawal.
The applied exchange rate is wrong for the cash I got abroad.,This relates to: Wrong exchange rate for cash withdrawal.
I am reluctant to use ATMs international because I don't get an accurate exchange rate,This relates to: Wrong exchange rate for cash withdrawal.
I didn't receive the correct exchange rate when I got cash.,This relates to: Wrong exchange rate for cash withdrawal.
How did you arrive at the rate of exchange? I thought that I would get more cash.,This relates to: Wrong exchange rate for cash withdrawal.
I think the exchange rate for the cash I withdrew was wrong.,This relates to: Wrong exchange rate for cash withdrawal.
When I received my cash; they had my exchange rate incorrect.,This relates to: Wrong exchange rate for cash withdrawal.
I was given the wrong exchange rate when getting cash,This relates to: Wrong exchange rate for cash withdrawal.
What is wrong with the exchange rate? This should have been a much higher amount of cash for that to apply.,This relates to: Wrong exchange rate for cash withdrawal.
"When I got cash, my exchange rate was off.",This relates to: Wrong exchange rate for cash withdrawal.
Please tell me how the exchange rate is determined. I was expecting more money for the transaction.,This relates to: Wrong exchange rate for cash withdrawal.
the exchange rate was different than expected,This relates to: Wrong exchange rate for cash withdrawal.
I think that there was an error in calculating the exchange rate.  I recently withdrew cash and received much less than expected.,This relates to: Wrong exchange rate for cash withdrawal.
what are the exchange rates for foreign currency ATMs,This relates to: Wrong exchange rate for cash withdrawal.
"When I received my cash, the exchange rate was wrong.",This relates to: Wrong exchange rate for cash withdrawal.
"I was using foreign currency at an ATM, but the rate was typed in wrong.",This relates to: Wrong exchange rate for cash withdrawal.
"On my last trip, I received the incorrect exchange rate.",This relates to: Wrong exchange rate for cash withdrawal.
the exchange rate for my withdrawal is wrong,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate applied was incorrect when I was traveling outside the country.,This relates to: Wrong exchange rate for cash withdrawal.
Can you please check the exchange rate when I was getting cash?,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate for my cash withdrawal was incorrect,This relates to: Wrong exchange rate for cash withdrawal.
The wrong exchange rate was used for my cash withdrawal,This relates to: Wrong exchange rate for cash withdrawal.
I withdrew cash and I think the exchange rate is wrong.,This relates to: Wrong exchange rate for cash withdrawal.
How do you figure out the exchange rate? Can you explain why I got less money than expected?,This relates to: Wrong exchange rate for cash withdrawal.
I got cash and the exchange rate should have been different than it ended up being.,This relates to: Wrong exchange rate for cash withdrawal.
Rates were applied wrong while using foreign currency at an ATM.,This relates to: Wrong exchange rate for cash withdrawal.
I was charged an incorrect exchange rate for a withdrawal.,This relates to: Wrong exchange rate for cash withdrawal.
"My ATM transaction shorted me on cash, and I think the exchange rate was wrong. Did I receive the correct rate?",This relates to: Wrong exchange rate for cash withdrawal.
In a recent withdrawal I received less cash than I expected to receive.  Did someone make an error with the exchange rate?,This relates to: Wrong exchange rate for cash withdrawal.
When I got cash I believe that the exchange rate was wrong,This relates to: Wrong exchange rate for cash withdrawal.
The rate applied to my foreign currency at an ATM was incorrect.,This relates to: Wrong exchange rate for cash withdrawal.
I tried to use the ATM with foreign currency. The conversion rate applied was wrong.,This relates to: Wrong exchange rate for cash withdrawal.
I am perplexed. Why is it that I received an extremely wrong rate when I tried to use an ATM using a foreign currency?,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate was wrong in the foreign country I got cash in.,This relates to: Wrong exchange rate for cash withdrawal.
The exchange rate for foreign ATM currency is wrong.,This relates to: Wrong exchange rate for cash withdrawal.
I think the exchange rate for the cash I withdrew wasn't correct.,This relates to: Wrong exchange rate for cash withdrawal.
The rate of exchange for my cash withdrawal is wrong.,This relates to: Wrong exchange rate for cash withdrawal.
you got the exchange rate wrong for my cash withdrawal,This relates to: Wrong exchange rate for cash withdrawal.
I withdrew cash abroad and the exchange rate applied is wrong.,This relates to: Wrong exchange rate for cash withdrawal.
You applied the wrong exchange rate while I was traveling outside the country.,This relates to: Wrong exchange rate for cash withdrawal.
Why was my cash withdrawal given the wrong exchange rate?,This relates to: Wrong exchange rate for cash withdrawal.
I think the exchange rate is wrong for my ATM withdrawal,This relates to: Wrong exchange rate for cash withdrawal.
I'm interested in learning more about disposable virtual cards.,This relates to: Get disposable virtual card.
"I desperately need to top-up my card, so why is it being declined? Can you solve this for me? I need to use my card immediately!",This relates to: Top up failed.
My credit card transaction was declined for a loan payment.  Can you tell me why?,This relates to: Top up failed.
Somebody is taking money out of my account without my approval in another town separate from me. Please place a freeze on my account until I can make it to the bank.,This relates to: Cash withdrawal not recognised.
How much do you charge for exchange rates?,This relates to: Exchange charge.
"If I exchange currency frequently, can I get a discounted rate?",This relates to: Exchange charge.
What is the rate for exchange fees?,This relates to: Exchange charge.
Please provide currency exchange rates,This relates to: Exchange charge.
What is the Top up rate charge for using a card in the US?,This relates to: Top up by card charge.
Which countries do you operate in,This relates to: Country support.
i live in portugal. do you operate here?,This relates to: Country support.
Can you tell me the countries you operate in?,This relates to: Country support.
What countries do you operate in?,This relates to: Country support.
What are the countries that you operate in?,This relates to: Country support.
You operate in which countries?,This relates to: Country support.
